Year,Category,Amount
2011,Australian Government,74831.90698
2011,Health insurance providers,12963.53237
2011,Individuals,27590.53668
2011,Other non-government,10105.7756
2011,State and territory government,47554.60247
2012,Australian Government,73382.09979
2012,Health insurance providers,14296.11998
2012,Individuals,29560.59167
2012,Other non-government,10511.79034
2012,State and territory government,47776.80507
2013,Australian Government,75264.59571
2013,Health insurance providers,15174.91146
2013,Individuals,30550.31511
2013,Other non-government,11386.48075
2013,State and territory government,48782.69485
2014,Australian Government,77482.63734
2014,Health insurance providers,16163.60937
2014,Individuals,31666.90128
2014,Other non-government,12640.2787
2014,State and territory government,48110.02137
2015,Australian Government,79987.2948
2015,Health insurance providers,16891.75522
2015,Individuals,32111.14362
2015,Other non-government,13267.90441
2015,State and territory government,50485.7784
2016,Australian Government,82488.45402
2016,Health insurance providers,17730.14159
2016,Individuals,32098.60574
2016,Other non-government,12291.70038
2016,State and territory government,55446.9533
2017,Australian Government,83863.51841
2017,Health insurance providers,18139.94083
2017,Individuals,33064.0853
2017,Other non-government,13142.57893
2017,State and territory government,54454.97481
2018,Australian Government,86145.83073
2018,Health insurance providers,18405.1546
2018,Individuals,33781.43404
2018,Other non-government,14193.09856
2018,State and territory government,56749.63869
2019,Australian Government,90545.26008
2019,Health insurance providers,17401.89295
2019,Individuals,31123.88962
2019,Other non-government,14338.40434
2019,State and territory government,59111.29929
2020,Australian Government,97468.69627
2020,Health insurance providers,18468.27222
2020,Individuals,33961.59701
2020,Other non-government,14470.7799
2020,State and territory government,63224.64327
2021,Australian Government,105844.2728
2021,Health insurance providers,17497.02274
2021,Individuals,33657.75191
2021,Other non-government,14159.90516
2021,State and territory government,70156.77788
