Code,Year,HealthExp
MAR,2000,3.69304585
MAR,2001,3.81601191
MAR,2002,4.06117535
MAR,2003,4.08037519
MAR,2004,4.23211098
MAR,2005,4.37350655
MAR,2006,4.56586647
MAR,2007,4.80759001
MAR,2008,4.83789158
MAR,2009,5.27312183
MAR,2010,5.41861057
MAR,2011,5.37019396
MAR,2012,5.39619017
MAR,2013,5.25540543
MAR,2014,5.41626596
MAR,2015,5.10435581
MAR,2016,5.09203386
MAR,2017,4.98920393
MAR,2018,4.94516659
MAR,2019,4.99129868
MAR,2020,5.83834505
MAR,2021,5.73834944
ABW,2000,
ABW,2001,
ABW,2002,
ABW,2003,
ABW,2004,
ABW,2005,
ABW,2006,
ABW,2007,
ABW,2008,
ABW,2009,
ABW,2010,
ABW,2011,
ABW,2012,
ABW,2013,
ABW,2014,
ABW,2015,
ABW,2016,
ABW,2017,
ABW,2018,
ABW,2019,
ABW,2020,
ABW,2021,
AFE,2000,5.656959671
AFE,2001,5.818257331
AFE,2002,5.447206389
AFE,2003,6.029446782
AFE,2004,6.115127586
AFE,2005,5.960903112
AFE,2006,5.981045662
AFE,2007,6.001088124
AFE,2008,5.891980812
AFE,2009,6.407416747
AFE,2010,6.445274355
AFE,2011,6.354502891
AFE,2012,6.168262677
AFE,2013,6.179715999
AFE,2014,5.840838327
AFE,2015,5.998179706
AFE,2016,6.097985922
AFE,2017,5.953892185
AFE,2018,5.809333943
AFE,2019,5.830223373
AFE,2020,5.881778983
AFE,2021,5.865552576
AFG,2000,
AFG,2001,
AFG,2002,9.44339085
AFG,2003,8.94125843
AFG,2004,9.80847359
AFG,2005,9.94828892
AFG,2006,10.62276554
AFG,2007,9.90467453
AFG,2008,10.25649548
AFG,2009,9.81848717
AFG,2010,8.56967163
AFG,2011,8.56190777
AFG,2012,7.89716864
AFG,2013,8.80596447
AFG,2014,9.52887821
AFG,2015,10.10534763
AFG,2016,11.81859016
AFG,2017,12.62081718
AFG,2018,14.20841885
AFG,2019,14.83131981
AFG,2020,15.53361416
AFG,2021,21.82794952
AFW,2000,3.7237501
AFW,2001,3.720807744
AFW,2002,3.366085691
AFW,2003,4.61919361
AFW,2004,4.426386264
AFW,2005,4.231252961
AFW,2006,4.105236422
AFW,2007,3.85749151
AFW,2008,3.678161142
AFW,2009,3.765718196
AFW,2010,3.498501513
AFW,2011,3.523383574
AFW,2012,3.489340457
AFW,2013,3.603167918
AFW,2014,3.583835465
AFW,2015,3.806467511
AFW,2016,3.796931468
AFW,2017,3.817354666
AFW,2018,3.430337752
AFW,2019,3.417184441
AFW,2020,3.840715341
AFW,2021,4.140713497
AGO,2000,1.90859938
AGO,2001,4.48351622
AGO,2002,3.32946134
AGO,2003,3.54797316
AGO,2004,3.96719909
AGO,2005,2.85219526
AGO,2006,2.68553543
AGO,2007,2.97439122
AGO,2008,3.32290339
AGO,2009,3.84260798
AGO,2010,2.69509959
AGO,2011,2.64560771
AGO,2012,2.39574957
AGO,2013,2.73282695
AGO,2014,2.43412876
AGO,2015,2.60579467
AGO,2016,2.71314979
AGO,2017,2.79383755
AGO,2018,2.58879566
AGO,2019,2.47517991
AGO,2020,3.22070646
AGO,2021,2.96010613
ALB,2000,5.94419765
ALB,2001,5.92584515
ALB,2002,5.66464472
ALB,2003,5.91140795
ALB,2004,5.89364862
ALB,2005,5.72954512
ALB,2006,5.63177013
ALB,2007,5.92609119
ALB,2008,5.50900269
ALB,2009,5.82603931
ALB,2010,6.23667669
ALB,2011,6.18297672
ALB,2012,6.15746212
ALB,2013,6.28286266
ALB,2014,6.43451118
ALB,2015,6.46411896
ALB,2016,6.7293272
ALB,2017,6.57848787
ALB,2018,6.66844559
ALB,2019,6.86214113
ALB,2020,7.51920271
ALB,2021,7.26731825
AND,2000,5.95276403
AND,2001,5.85823727
AND,2002,5.99621153
AND,2003,5.54771519
AND,2004,5.28846931
AND,2005,5.59476948
AND,2006,4.96530008
AND,2007,4.92347288
AND,2008,5.67066383
AND,2009,6.08094168
AND,2010,7.67537737
AND,2011,7.62060833
AND,2012,6.71083689
AND,2013,6.79964209
AND,2014,6.77308035
AND,2015,6.91586447
AND,2016,6.90521765
AND,2017,7.07142639
AND,2018,7.37541723
AND,2019,7.323246
AND,2020,8.78673935
AND,2021,8.33449364
ARB,2000,3.932307228
ARB,2001,4.220152232
ARB,2002,4.198643507
ARB,2003,3.999631386
ARB,2004,3.724181183
ARB,2005,3.430019354
ARB,2006,3.422317189
ARB,2007,3.539261239
ARB,2008,3.371537954
ARB,2009,4.314896568
ARB,2010,3.926966189
ARB,2011,3.82429168
ARB,2012,3.903775497
ARB,2013,4.149184834
ARB,2014,4.495414875
ARB,2015,4.994469805
ARB,2016,5.273366893
ARB,2017,5.172794237
ARB,2018,4.858297992
ARB,2019,4.954509067
ARB,2020,5.7502115
ARB,2021,5.327656798
ARE,2000,2.37413526
ARE,2001,2.48437047
ARE,2002,2.71770859
ARE,2003,2.64634395
ARE,2004,2.46204329
ARE,2005,2.32019687
ARE,2006,2.3254137
ARE,2007,2.56569624
ARE,2008,2.92847514
ARE,2009,4.04999304
ARE,2010,3.87873054
ARE,2011,3.67006993
ARE,2012,3.33596373
ARE,2013,3.50222182
ARE,2014,3.53405499
ARE,2015,3.46609354
ARE,2016,3.89580107
ARE,2017,4.00854969
ARE,2018,4.09854221
ARE,2019,4.38618946
ARE,2020,5.82477045
ARE,2021,5.30695152
ARG,2000,8.22001076
ARG,2001,8.37179852
ARG,2002,7.3933115
ARG,2003,6.89451647
ARG,2004,7.22868252
ARG,2005,7.61078882
ARG,2006,7.64032793
ARG,2007,7.83455086
ARG,2008,8.1826973
ARG,2009,9.45599556
ARG,2010,9.44546413
ARG,2011,9.41819859
ARG,2012,9.82726669
ARG,2013,9.78097916
ARG,2014,9.67129993
ARG,2015,10.22933674
ARG,2016,9.85558891
ARG,2017,10.23174763
ARG,2018,10.29146862
ARG,2019,10.04194355
ARG,2020,10.34701538
ARG,2021,9.70880699
ARM,2000,4.2
ARM,2001,4.65
ARM,2002,7.61
ARM,2003,7.18
ARM,2004,6.06
ARM,2005,5.86
ARM,2006,5.85
ARM,2007,5.5
ARM,2008,6.64
ARM,2009,8.44
ARM,2010,9.24
ARM,2011,9.38
ARM,2012,9.13
ARM,2013,10.32
ARM,2014,10.18
ARM,2015,10.12
ARM,2016,9.95
ARM,2017,10.36
ARM,2018,10.01
ARM,2019,11.38
ARM,2020,12.24
ARM,2021,12.34
ASM,2000,
ASM,2001,
ASM,2002,
ASM,2003,
ASM,2004,
ASM,2005,
ASM,2006,
ASM,2007,
ASM,2008,
ASM,2009,
ASM,2010,
ASM,2011,
ASM,2012,
ASM,2013,
ASM,2014,
ASM,2015,
ASM,2016,
ASM,2017,
ASM,2018,
ASM,2019,
ASM,2020,
ASM,2021,
ATG,2000,4.71542597
ATG,2001,5.43839121
ATG,2002,5.28793621
ATG,2003,5.58143282
ATG,2004,5.11667967
ATG,2005,4.99094057
ATG,2006,4.63050652
ATG,2007,4.44609547
ATG,2008,4.20027018
ATG,2009,4.17732763
ATG,2010,5.37907028
ATG,2011,5.44257212
